beta1,gamma1,beta2,gamma2
1.510541439056396484e+00,2.978624403476715088e-01,1.476289749145507812e+00,1.253654479980468750e+00
1.533337831497192383e+00,3.509572148323059082e-01,1.397277593612670898e+00,1.053303003311157227e+00
1.613870859146118164e+00,3.732931315898895264e-01,1.308094620704650879e+00,1.029234290122985840e+00
1.559181094169616699e+00,3.383661806583404541e-01,1.409882545471191406e+00,1.092335700988769531e+00
1.593634724617004395e+00,3.529295623302459717e-01,1.386570692062377930e+00,1.082045555114746094e+00
1.593584775924682617e+00,3.666917681694030762e-01,1.310665965080261230e+00,1.052214503288269043e+00
1.447422385215759277e+00,3.340680003166198730e-01,1.519870638847351074e+00,1.013620734214782715e+00
1.537446141242980957e+00,3.307969570159912109e-01,1.404383540153503418e+00,1.118907332420349121e+00
1.577726006507873535e+00,3.497325778007507324e-01,1.454430580139160156e+00,1.149809956550598145e+00
1.581157803535461426e+00,3.572543859481811523e-01,1.340385317802429199e+00,1.052066326141357422e+00
1.537332773208618164e+00,3.832225203514099121e-01,1.380778908729553223e+00,9.562515616416931152e-01
1.544424176216125488e+00,3.589714467525482178e-01,1.347069025039672852e+00,1.027575016021728516e+00
1.535891413688659668e+00,3.612763285636901855e-01,1.368263363838195801e+00,9.726076722145080566e-01
1.624657750129699707e+00,3.731272518634796143e-01,1.258047699928283691e+00,9.891291260719299316e-01
1.468089103698730469e+00,3.171272277832031250e-01,1.501759409904479980e+00,1.079407811164855957e+00
1.386234402656555176e+00,2.916855812072753906e-01,1.481560468673706055e+00,1.054296255111694336e+00
1.520925164222717285e+00,3.323824405670166016e-01,1.387819051742553711e+00,1.066937565803527832e+00
1.528029203414916992e+00,3.483814299106597900e-01,1.357337713241577148e+00,1.059511542320251465e+00
1.556966423988342285e+00,3.201686739921569824e-01,1.377054572105407715e+00,1.203552007675170898e+00
1.479197382926940918e+00,2.863836288452148438e-01,1.512917518615722656e+00,1.233282089233398438e+00
1.511224865913391113e+00,3.434320986270904541e-01,1.416186213493347168e+00,1.005680561065673828e+00
1.471706748008728027e+00,3.534313440322875977e-01,1.356825232505798340e+00,9.177048206329345703e-01
1.582648038864135742e+00,3.774364292621612549e-01,1.405723333358764648e+00,1.034046411514282227e+00
1.601810097694396973e+00,3.609009087085723877e-01,1.316523313522338867e+00,1.076519250869750977e+00
1.528214693069458008e+00,3.447655439376831055e-01,1.403566598892211914e+00,1.097469925880432129e+00
1.593542695045471191e+00,3.611586987972259521e-01,1.373248219490051270e+00,1.107445478439331055e+00
1.561780452728271484e+00,3.624448478221893311e-01,1.401540994644165039e+00,1.059613108634948730e+00
1.572542190551757812e+00,3.734854459762573242e-01,1.426832437515258789e+00,1.039763689041137695e+00
1.634371161460876465e+00,3.716267049312591553e-01,1.375828742980957031e+00,1.125770330429077148e+00
1.473561406135559082e+00,2.977984249591827393e-01,1.475885152816772461e+00,1.176918506622314453e+00
1.529616117477416992e+00,3.263632357120513916e-01,1.435948967933654785e+00,1.090699672698974609e+00
1.613325595855712891e+00,3.858536481857299805e-01,1.419857025146484375e+00,1.002570390701293945e+00
1.508291244506835938e+00,3.200843632221221924e-01,1.428632974624633789e+00,1.040108323097229004e+00
1.522036910057067871e+00,3.711433410644531250e-01,1.316835761070251465e+00,9.868276715278625488e-01
1.543924450874328613e+00,3.276437819004058838e-01,1.450106978416442871e+00,1.172254800796508789e+00
1.669080734252929688e+00,3.347485959529876709e-01,1.308100342750549316e+00,1.278309345245361328e+00
